gismu,gismu_shape,pos_tendency,gismu_new,gismu_new_shape,cmavo_rafsi_1,cmavo_rafsi_2,cmavo_rafsi_3,excluded,coef1_1,coef1_2,coef1_3,form_shape_1,form_shape_2,form_shape_3,rafsi_pos_1,rafsi_pos_2,rafsi_pos_3,rafsi_pos,gismu_sum,meaning,override,gismu_new_count
jimpe,CACCA,fin,jmi,CCA,jmi,,,  je'e,25.2,0.0,0.0,CCA,,,132,,,132  12345,1756,understand,,1
nitcu,CACCA,fin,tcu,CCA,tcu,,, ,3.6,0.0,0.0,CCA,,,345,,,345 12345,1637,need,,1
viska,CACCA,ini,via,CAA,vi'a,vis,,  ,7.8,5.3,0.0,CAA,CAC,,125,123,,123 125 12345,1536,see,,1
bacru,CACCA,fin,bau,CAA,ba'u,,, ,28.3,0.0,0.0,CAA,,,125,,,125 12345,1427,utter,,3
mulno,CACCA,ini,mun,CAC,mu'o,mul,,  mu'e ,88.5,21.9,0.0,CAA,CAC,,125,123,,123 125  12345,1398,complete,,1
ninmu,CACCA,neut,nim,CAC,nim,ni'u,,  ,5.6,3.1,0.0,CAC,CAA,,124,125,,124 125 12345,1310,woman,,1
liste,CACCA,fin,ste,CCA,ste,,, ,100.0,0.0,0.0,CCA,,,345,,,345 12345,1286,list,,1
mabla,CACCA,ini,mal,CAC,mal,,, ,100.0,0.0,0.0,CAC,,,124,,,124 12345,1276,derogative,,1
zukte,CACCA,fin,zui,CAA,zu'e,zuk,,  zu'o ,75.7,3.9,0.0,CAA,CAC,,125,123,,123 125  12345,1252,act,,1
barda,CACCA,neut,bra,CCA,bra,,, ,66.8,0.0,0.0,CCA,,,132,,,132 12345,1243,big,,1
binxo,CACCA,fin,biu,CAA,bi'o,bix,,  ,51.5,5.0,0.0,CAA,CAC,,125,124,,124 125 12345,1223,become,,1
dunda,CACCA,fin,dua,CAA,du'a,,,  do'a dud,16.5,0.0,0.0,CAA,,,125,,,125  12345,1209,give,,1
kumfa,CACCA,fin,kua,CAA,ku'a,,,  kum,17.8,0.0,0.0,CAA,,,125,,,125 12345,1198,room,,2
zasti,CACCA,fin,zai,CAA,za'i,,,  zat,82.1,0.0,0.0,CAA,,,125,,,125 12345,1189,exist,,2
ciska,CACCA,fin,cia,CAA,ci'a,,, ,29.0,0.0,0.0,CAA,,,125,,,125 12345,1183,write,,2
melbi,CACCA,neut,mle,CCA,mle,,, ,17.6,0.0,0.0,CCA,,,132,,,132 12345,1161,beautiful,,1
