gismu,position,oblique
grusi,1,gray
grute,1,fruit
grute,2,fruit species: bears fruit: fructiferous
gubni,1,public
gubni,2,published among
gugde,1,country
gugde,2,countrymen: people of country
gugde,3,territory of country
gundi,1,industry
gundi,2,industry product
gundi,3,industrial process
gunka,1,worker: work [v]
gunka,2,task: work [n]
gunka,3,work goal
gunma,1,jointly
gunma,2,component of mass: teamed
gunro,1,roll
gunro,2,surface rolled on
gunro,3,axle: rolling axis
gunse,1,goose
gunse,2,goose species
gunta,1,attack
gunta,2,attacked
gunta,3,attack goal
gurni,1,grain
gurni,2,grain species
guska,1,erosive: scrape
guska,2,scraped: eroded material
guska,3,scraped from: eroded
gusni,1,light: illumine
gusni,2,lit: illuminated
gusni,3,light source: shines
gusta,1,restaurant
gusta,2,restaurant cuisine: fare
gusta,3,restaurant customer: diner
gutci,1,cubit
gutci,2,length/width/height (in short units): number of cubits
gutci,3,cubit standard
gutci,4,sub-unit of cubits
gutra,1,womb
gutra,2,has womb
guzme,1,melon
guzme,2,melon species
jabre,1,brake
jabre,2,braked
jabre,3,braking device
jadni,1,adorn
jadni,2,adorned: wears
jakne,1,rocket
jakne,2,expelled by rocket: jet [of a rocket]
jakne,3,payload [of a rocket]: carried [in rocket]
jalge,1,result
jalge,2,have result
jalna,1,starch
jalna,2,starch source
jalna,3,starch composition
jalra,1,cockroach
jalra,2,cockroach species
jamfu,1,foot
jamfu,2,has foot: footed
jamna,1,war
jamna,2,enemy [in war]: opponent [in war]
jamna,3,in contention: cause of war: causus belli
janbe,1,ring: bell
janbe,2,chime: bell sound
janco,1,shoulder
janco,2,joined at shoulder
janco,3,has shoulder
janli,1,collide
janli,2,collided with
jansu,1,diplomat
jansu,2,represented by diplomat
jansu,3,diplomat posting
jansu,4,diplomat function
janta,1,account
janta,2,billed for
janta,3,billed
janta,4,present bill
jarbu,1,suburb
