lujvo,meaning
selmexno,Mexican aspect
selmidju,has at middle
selmifra,plaintext encoded
termifra,code system
selmikce,patient
termikce,ailment treated
velmikce,medical treatment
selmikri,has 1E-6 part
termikri,1E-6's dimension
selmilti,measured in .001's
termilti,.001's dimension
selmli,mildness property
termi'e,result commanded
selmi'i,machine function 
selminli,size [in miles]
terminli,subunits of miles
velminli,mile standard
selminra,reflected
terminra,see reflection
velminra,reflection
selmi'u,has as same
termi'u,sameness standard
selmipri,kept secret
termipri,kept secret from
velmipri,secrecy method
selmirli,deer species
selmi'o,hold as famous
selmisro,Egyptian aspect
seltre,size [in meters]
tertre,meters direction 
veltre,meter standard
selxre,ingredient
selmla,has to the side
termla,faced for sideways
velmla,frame for sideways
selmlatu,cat species
selme'a,undercut
terme'a,lessness property
velme'a,lessness margin
selmledi,mold species
termledi,moldy
selmluni,satellite primary
termluni,satellite property
velmluni,satellite orbit
selmoi,  set with ordinal
termoi,  sequence for ordinal
selmokca,point location 
selmo'u,has mouth
selmlo,mill process
selmo'o,quantity in moles
termo'o,mole standard
selmo'i,remembered
termo'i,memory subject 
selmorko,Moroccan aspect
selmo'a,patterned
termo'a,arrangement
selmosra,rubbed
termosra,rubbed against
selmraji,rye species
selmri,mailed
termri,receive mail
velmri,transmit mail
xelmri,mail carrier
selmru,hammered
termru,hammerhead
velmru,propel hammer
selmudri,wood species
selmu'i,motivated
termu'i,has motive
selmu'o,completion property
termu'o,completion standard
selmu'e,universe domain
termu'e,universe rule
selmupli,property exemplified
termupli,set exemplified
selmurse,day with twilight
termurse,twilight location 
selmu'a,curtained aperture
termu'a,curtain material
selmuslo,Islamic aspect
seltce,muchness property
tertce,muchness direction 
selmu'u,move destination 
termu'u,move origin 
velmu'u,move path
selmuzga,exhibited
termuzga,museum location 
selnabmi,has problem
ternabmi,problem conditions
selnakni,species with male
ternakni,male trait
selna'i,winged
selnanba,grain in bread
selna'a,duration [in years]
terna'a,year standard
selnandu,find difficult
ternandu,difficulty condition
selnanla,boy's age
ternanla,boyhood standard
selnanvi,has 1E-9 part
ternanvi,1E-9's dimension
selnarge,plant with nut
ternarge,nut shell
velnarge,nut kernel
selna'e,denied
terna'e,logic for denial
selnai,people of nation
selnavni,
selxle,canal destination 
terxle,canal origin 
velxle,canal route
selzbi,has nose
terzbi,nostril
selnejni,energy type 
ternejni,energy form
selnei,liked
selne'i,has inside
selni'i,necessitated
terni'i,logic system necessitating
selcte,day with night
tercte,night location 
selni'e,furnished
terni'e,furniture purpose 
selnimre,citrus species
selnirna,has nerve
seltcu,needed
tertcu,purpose needed for
selnivji,knitted
ternivji,knitting yarn
selxli,girl's age
terxli,girlhood standard
selno'i,nobility standard
selnoi,message subject 
ternoi,send message
velnoi,receive message
selnu'e,promised
ternu'e,promisee
selnurma,rural of
selnu'i,scale with neutral
selnuzba,news subject 
ternuzba,news source 
velnuzba,receive news
selpa'a,hoped for
terpa'a,likeliness of hope
selpau,part of
selgre,passed through
tergre,passed to
velgre,passed from
selpai,judgement subject 
selpalci,evil standard
selpalku,pants material
selpalne,tray contents 
terpalne,tray material
selpalta,plate material
selpambe,pumped
terpambe,pumped into
velpambe,pumped from
xelpambe,pumping means
selpanci,odorous
terpanci,smell odor
selpandi,punctuated
terpandi,punctuation
velpandi,punctuation effect
selpanka,maintain park
terpanka,park purpose 
selpa'o,sliced
selpanpi,at peace with
selpanra,paralleled
terpanra,parallelism property
velpanra,parallelism standard
selpante,object of protest
terpante,receive protest
velpante,complaint
selpanzi,offspring parent
selpapri,bound pages
selparbi,in ratio
terparbi,ratio reference 
selpastu,robe material
selpa'u,fathered
selpatlu,potato species
selpatxu,pot contents 
terpatxu,pot material
selple,paper source 
selpemci,poem subject
terpemci,poet
velpemci,read poem
selpenbi,ink for pen
terpenbi,process using pen
selpe'u,touched
terpe'u,touched with
selpe'o,befriended
selpe'i,encountered
terpe'i,meeting place
selpei,object of thought
selperli,pear species
selpesxu,paste composition
selpetso,quantity in 1E15's
terpetso,1E15's dimension
selpezli,leafy
selpicti,quantity in 1E-12's
terpicti,1E-12's dimension
selpijne,pinned
terpijne,pin material
selpikci,begged
terpikci,begged for
selpikta,has ticket
terpikta,ticket benefit
velpikta,ticket conditions
selpi'i,multiplicand
terpi'i,multiplier
selpi'a,has crust
selpli,used
terpli,use purpose 
selpi'u,feathered
selpinca,urinate
selpindi,deficiency
selpinfu,captor
terpinfu,imprisonment means
selpinji,has penis
selpinka,comment subject
terpinka,make comment
velpinka,commented to
selpinsi,pencil lead
terpinsi,pencil covering 
selpinta,frame for levelness
selpinxe,beverage
terpinxe,drinking vessel
selxra,depicted
terxra,draw picture
velxra,picture medium
selplana,plumpness standard
selpla,plan made
terpla,planned out
selyle'i,payment
terle'i,payee
velyle'i,paid for
selplibu,has pubes
selplini,planet primary
terplini,planetary property
velplini,planet orbit
selpi'e,leaped to
terpi'e,leaped from
velpi'e,leap height
xelpi'e,propulsion for leap
selplise,apple species
selplita,point in plane
selplixa,plowed
terplixa,plowing tool
velplixa,pull plow
selpluja,complexity property
terpluja,complexity standard
selpu'a,pleased
terpu'a,pleasing conditions
selylu'a,route to
terlu'a,route from
velylu'a,point on route
selplo,folded
terplo,folding crease
selpolno,Polynesian aspect
selpo'o,Japanese aspect
selpo'e,possessed
terpo'e,possession right
selpo'i,broken piece
selpoi,ordering rule
terpoi,sequence base set
selporto,Portuguese aspect
selprali,profits
terprali,profitable
selpa'i,loved
selpa'e,perfection property
selpe'a,is spread to
terpe'a,is spread from
selrei,question subject 
teryrei,questioner
velrei,questioned
selprije,object of wisdom
terprije,views as wise
selpri,printing surface
terpri,printing tool
selpritu,has to the right
terpritu,frame for right
selro'a,prose subject
teryro'a,write prose
velro'a,read prose
selru'e,input to process
teryru'e,process result
velru'e,process stage
selpu'e,dust source 
terpu'e,dusty
selpulji,law
selpulni,pulley function 
terpulni,pulley axle
selpu'i,placed
terpu'i,placed at
selpunli,swollen
terpunli,swelling material
selpru,has in its past
selpurdi,has garden
terpurdi,grown in garden
selpu'o,powdered
selracli,sanity standard
selractu,rabbit species
selra'o,quantity in radians
teryra'o,radian standard
selrafsi,has affix
teryrafsi,affix form
velrafsi,affix language 
selragve,gap
teryragve,across from
selrakso,Iraqi aspect
selra'u,troubled
teryra'u,troubling result
selralci,delicacy property
selralju,has as principal
teryralju,primacy property
selra'e,retained
selranda,yielded to
teryranda,yield conditions
selrango,has organ
teryrango,organ function 
selra'i,continuity interval
selranmi,myth subject
teryranmi,mythos
velranmi,culture with myth
selransu,bronze composition
selranti,molding force
teryranti,softness conditions
selranxi,not expecting
teryranxi,irony property
selrapli,repeat count
selratcu,rat species
selratni,chemical element
teryratni,isotope
selrebla,tailed
selre'u,meat source 
selre'o,thrown
teryre'o,throwing direction
selre'i,endured
teryre'i,survival time
selrespa,reptile species
selcfu,riches
selrigni,disgusted
teryrigni,disgust conditions
selrilti,rhythmic
selrimni,rhymed with
teryrimni,rhyme language 
velrimni,rhyme scheme
selrinci,drained liquid
teryrinci,strainer
velrinci,draining force
selri'u,restraint
teryri'u,restrained against
selri'a,effect
teryri'a,causation conditions
selrinsa,greeted
teryrinsa,greeting
selrirci,rarity property
teryrirci,rarity population
selrirni,raised
selri'e,landmass with river
teryri'e,watershed
velri'e,mouth [of a river]
selrismi,rice species
selrisna,has heart
selri'i,rite purpose
teryri'i,community with rite
velri'i,ritual form
selrivbi,avoided
teryrivbi,avoidance
selro'i,rock type 
teryro'i,rock location 
selromge,chrome metal
selro'o,European aspect
selrorci,engendered
teryrorci,coparent
seltsu,thickness dimension
tertsu,thickness standard
selzgu,rose species
selble,weak point
terble,weakness standard
selrunme,melting point
teryrunme,melting pressure
selrunta,solvent
teryrunta,solution formed
velrunta,solution conditions
selru'u,worth [in dollars]
teryru'u,money system
selru'o,Russian aspect
selrutni,make artifact
selsabji,provisions
tersabji,provided with
selsabnu,vehicle with cabin
selsacki,material [of match]
selsaclu,decimal fraction
tersaclu,decimal base
seldjo,Saudi aspect
selsakci,sucked to
tersakci,sucked from
selsakli,slid on
selsakta,sugar source
tersakta,sugar composition
selsla,celebrated
tersla,celebration
selsa'o,slope angle
tersa'o,slope horizon
selsalta,salad ingredients
selsamcu,cassava species
selsampu,simplicity property
selsna,emit sound
selsa'a,song
tersa'a,hear song
selsanji,noticed
selsa'i,surface stood on
tersa'i,limb stood with
selsai,meal dish
selsanso,with sauce
tersanso,sauce ingredient
selsanta,shaded by umbrella
tersanta,shaded from
velsanta,umbrella material
xelsanta,support umbrella
selsa'u,requires
tersa'u,necessity conditions
selsra,supported
tersra,supported against
velsra,support means 
selsarlu,spiral limits
tersarlu,spiral dimension
selsarxe,harmonized with
tersarxe,harmony property
selske,science subject 
terske,science methodology
selsatci,precision
tersatci,exactness property
selsa'e,stroked
selvru,receive noise
tervru,noise channel
selsazri,operated
tersazri,operating goal
selsfe,has surface
tersfe,surface side
velsfe,surface bounds
selsle,has cell
selse'u,served
terse'u,service
selsme,Semitic aspect
selsenpi,doubted
selsenta,layered material
tersenta,layered structure
selsne,dream subject
selsei,separated from
tersei,separator
selserti,with stairs
terserti,stair steps
selse'a,inserted
terse'a,inserted into
selse'i,self of
selsfani,fly species
selsfa,punished
tersfa,punished for
velsfa,punishment
selsu'u,dived to
tersu'u,dived from
selsiclu,whistling sound
selsi'i,issue coin
tersi'i,coin value
velsi'i,
selsi'o,idea subject 
tersi'o,has idea
seldju,helped
terdju,helped to do
selsigja,cigar material
tersigja,cigar maker
selsilka,silk source 
selsilna,salt source 
tersilna,salt composition
selmlu,apparent property
termlu,apparently observe
velmlu,seeming conditions
selsmi,resembled by
tersmi,similarity property
selsi'u,done mutually
selsince,snake species
selsi'a,esteemed
selsinso,arcsine
selsni,symbolized
tersni,observe sign
selsirji,straight start 
tersirji,end of straight
selsirxo,Syrian aspect
selsisku,property sought
tersisku,set sought in
selsti,stopped
selsitna,cited
tersitna,cited information
selsivni,keep private
selskaci,skirt material
selskami,computer purpose 
selskapi,has pelt
selska,color of
terska,perceive color
velska,color conditions
selski,described
terski,described to
velski,description
selskiji,skiing surface
terskiji,skier
selskina,film subject
terskina,filmmaker
velskina,cinema audience
selsko,cord material
selko'o,Scottish aspect
selku'o,grooved
selsau,finds familiar
tersau,familiar feature
velsau,familiarity standard
selslaka,syllable language 
selslami,acid composition
selslanu,cylinder material
selslari,find sour
selslasi,plastic monomer
selsligu,solid composition
tersligu,solidity conditions
selsli,oscillation frequency
tersli,oscillation state
selylo'o,Slavic aspect
selslu,controled by muscle
terslu,muscular
selsluni,onion species
selsmacu,mouse species
selsmadi,guessed
tersmadi,guess subject 
selsma,find quiet
tersma,quietness standard
selsmani,monkey species
selsmo,sock material
selsmuci,done with spoon
tersmuci,spoon material
selsmu,has meaning
tersmu,perceive meaning
selsnada,achievement
tersnada,means to success
selsnanu,has to the south
tersnanu,frame for south
selsnidu,duration [in seconds]
tersnidu,second standard
selsnipa,stuck
selsnuji,sandwiched
tersnuji,sandwich outside
selnu'a,secured against
selsnuti,not intend
selso'e,soya species
selsodna,alkali type metal
selsodva,soda flavor
selsofto,Soviet aspect
selsolri,planet with sun
tersolri,inhabitant under sun
selso'o,sown
terso'o,sown in
selsoi,soldier's army
selsro,stored
tersro,storehouse
selsorgu,sorghum species
selso'a,ovulate
selspaji,surprised
selspali,polished surface
terspali,polishing material
velspali,polishing tool
selspano,Spanish aspect
selspa,plant species
selspe,married to
terspe,
selspi,has piece
selspita,hospital patient
terspita,medical condition
selpo'u,inoperative function
selpo'a,explosion result
selspu,stimulus
terspu,response
selpu'u,spat out
terpu'u,spat from
velpu'u,spat to
selsraji,frame for verticality
selsraku,scratched
selsralo,Australian aspect
selra'a,pertained to
selsrasu,grass species
selsre,mistake
tersre,error conditions
velsre,error standard
selsrito,Sanskrit aspect
selru'a,assumed
teryru'a,assumption subject
selsru,surrounded
tersru,direction surrounded
selstace,receive honesty
terstace,honesty subject 
selstagi,plant edible part 
terstagi,edible plant
selstaku,make ceramic
terstaku,ceramic composition
velstaku,ceramic form
selsta,remained at
selstani,has stalk
selstapa,surface stepped on
terstapa,stepping limb
selstasu,soup ingredient
selstati,done with talent
selsteba,object of frustration
selte'i,special subset
terte'i,set with specific
selstedu,has head
selstela,locked
terstela,lock mechanism
selte'o,quantity in steradians
terte'o,steradian standard
selstici,has to the west
terstici,frame for west
selti'i,suggestion
terti'i,receive suggestion
selstika,adjusted
terstika,adjustment amount
selsto,constant property
tersto,constancy conditions
selstuna,has to the east
terstuna,frame for east
selsu'a,structured
selstu,sited
selsucta,abstract source 
tersucta,abstraction rules
selsudga,liquid dried
selsfu,hoofed
selsuksa,sudden change locus
tersuksa,with sudden change
selsumji,1st summand
tersumji,2nd summand
selsumne,smelly
selsu'i,predicate with argument
tersu'i,argument place
selsunga,garlic species
selsunla,woolly animal
selsurla,recreation
selsutra,done fast
seltadji,done by method
tertadji,method conditions
seltadni,studied
seltagji,has snugly
tertagji,snugness dimension
veltagji,snugness locus 
seltalsa,challenged
tertalsa,challenge property
seltamca,tomato species
seltamji,limb with thumb
tertamji,has thumb
seltamne,has cousin
tertamne,cousin bond
selta'o,board material
seltance,has tongue
seltanjo,arctangent
seltanko,tobacco species
seltau,phrase modifier
tertau,phrase modificand
veltau,phrase meaning
xeltau,phrase language 
seltansi,pan contents
tertansi,pan material
selta'e,box contents
terta'e,box material
seltapla,tile material
tertapla,
veltapla,
seltarbi,embryo mother
tertarbi,embryo father 
seltarci,star properties
seltarla,tar source
seltai,shaped
seltra,behavior
tertra,behavior conditions
seltaske,object of thirst
selta'i,tiring
seltatru,has breast
selta'a,talked to
terta'a,talk subject
velta'a,talk language
selta'u,wears garment
terta'u,garment purpose
seltcaci,acccustomed
tertcaci,custom conditions
seltca,city extent
tertca,polity with city
veltca,city hinterland 
seltcana,system with station
seltcati,tea leaves
seltcena,extent
tertcena,stretch dimension
veltcena,unstretched range
seltcica,deceived
tertcica,deception subject 
seltcidu,readable
tertcidu,read from
seltcika,timed at
tertcika,day of time
veltcika,time location 
seltcila,detailed
selti'a,weather location
seltcini,in situation
seltcita,labeled
tertcita,label information
seltei,start time
tertei,end time
seltenfa,exponential base
tertenfa,exponent
selte'u,textured
selterdi,planet inhabitant
selte'a,feared
selterto,quantity in 1E12's
terterto,1E12's dimension
seltigni,performance
tertigni,performance audience
seltikpa,kicked
tertikpa,kicked locus
veltikpa,
seltilju,heaviness standard
seltinbe,obeyed
tertinbe,commander obeyed
seltinsa,stiffness direction
tertinsa,meeting stiffness
veltinsa,stiffness conditions
seltirna,heard
tertirna,ambient background
seltirxu,tiger species
tertirxu,tiger markings
seltisna,filled
seltitla,find sweet
seltivni,television program
tertivni,television channel
veltivni,television receiver
seltoknu,cooked in oven
seltoldi,butterfly species
selto'a,pitch
terto'a,tone source
selto'u,shortness dimension
terto'u,shortness standard
selto'i,torque､ twisting force
selrai,superlative property
teryrai,which extreme
velrai,range limited by extreme
seltrati,tautness direction
selre'e,train car
teryre'e,train system
velre'e,
seltricu,tree species
seltri,attracted
tertri,attracting property
selti'e,in front
terti'e,frame for behind
seltoi,attempted
tertoi,trying method 
seltsa,strength property
tertsa,strength standard
seltsani,with sky
seltsapi,seasoning effect
seltsi,organism with seed
tertsi,seed offspring 
seltsina,has stage
tertsina,on stage
veltsina,stage material
seltu'u,tube material
tertu'u,tube filling
seltu'i,agreed with
tertu'i,agreement
veltu'i,agreed about
seltujli,tulip species
seltu'a,land location 
seltunba,has sibling
tertunba,sibling bond
seltunta,poked
seltu'e,has leg
seltru,governed
seltci,done with tool
seltutra,controls territory
selvacri,planet with air
tervacri,air composition
selvai,finds important
tervai,reason for importance
selvla,word meaning 
tervla,word language 
selva'i,valued
terva'i,valued by
velva'i,valued for
selvamtu,vomited
selvanbi,has environment
selvanci,day of evening
tervanci,evening location
selvanju,wine fruit
selvau,contents
selva'u,breathed
selve'u,goods
terve'u,buyer
velve'u,sale cost
selvenfu,revenged against
tervenfu,revenged for
velvenfu,revenged by
selvensa,year of spring
tervensa,spring location
selve'a,child's age
terve'a,child standard
selvibna,has vagina
selvidni,video function
selvidru,virus property
tervidru,virus locus
selvi'i,excreted
tervi'i,excreted from
velvi'i,excretion means
selviknu,viscosity conditions
selvi'u,removed
tervi'u,removed from
velvi'u,remainder
selvindu,finds poisonous
selvinji,plane cargo
tervinji,plane propelling method
selvipsi,matter deputed
tervipsi,boss
selvri,brave activity
tervri,brave standard
selvi'a,seen
tervi'a,seeing conditions
selvitci,irregularity
selvi'e,has guest
tervi'e,guest place
selvi'o,permanence property
tervi'o,permanence standard
selvlagi,has vulva
selvlina,1st alternative
tervlina,2nd alternative
selvli,within the power of
tervli,power conditions
selvoi,flight means 
selvo'a,has voice
selvro,accessible
tervro,accessible
velvro,structure with door
selvra,function with lever
tervra,lever fulcrum
velvra,lever arm
selvei,recorded
tervei,recording medium
velvei,
selvre,reclined on
selvrici,varied property
selvu'e,virtue standard
selvu'i,flavored
selvu'o,Ukrainian aspect
selxa'u,habitat
selxadba,halved
terxadba,halfness standard
selxadni,has body
selxagji,object of hunger
selxagri,reed
selxajmi,finds funny
terxajmi,funniness property
selxaksu,used up
selxalbo,object of levity
selxalka,alcohol type 
terxalka,alcohol source 
selxalni,object of panic
selxau,find good
terxau,goodness standard
selxa'o,current in amperes
terxa'o,ampere standard
selxamsi,planet with sea
terxamsi,sea fluid
selxa'e,has hand
selxanka,object of nervousness
terxanka,nervousness condition
selxanri,imagine
selxanto,elephant species
selxa'i,threatened by weapon
terxa'i,use weapon
selxarju,pig species
selxarnu,object of stubbornness
terxarnu,
selxasli,donkey species
selxasne,body sweating
terxasne,sweat gland
selxa'a,letter addressee
terxa'a,letter author
velxa'a,letter content
selxatsi,quantity in 1E-18's
terxatsi,1E-18's dimension
selzdo,Asiatic aspect
selxei,hated
selbro,Hebrew aspect
selcto,quantity in 100's
tercto,100's dimension
selxe'a,has jaw
selxelso,Greek aspect
selxe'o,object of kindness
terxe'o,kind behavior
selxe'u,regrettable
selxexso,quantity in 1E18's
terxexso,1E18's dimension
selxindo,Hindi aspect
selxinmo,ink color
terxinmo,pen using ink
selxi'a,horse species
selxi'u,wheeled vehicle
terxi'u,wheel properties
selxispo,Hispanic aspect
selxla,find bad
terxla,badness standard
selxlu,influenced
terxlu,influenced action
velxlu,influence
selxoi,hotel location 
terxoi,innkeeper
selxrabo,Arabic aspect
selxai,injured
terxai,injury property
velxai,injury
selxi'o,Christian aspect
selxruba,buckwheat species
selxruki,turkey species
selxrula,flowering plant
selxru,returned
terxru,state returned to
velxru,state returned from
selxu'i,kind of chemical
terxu'i,chemical purity
selxu'o,Urdi aspect
selxu'a,asserted
selza'a,favored
terza'a,favor
selzajba,gymnastic feat
selzalvi,pulverized
terzalvi,ground powder
selzau,approved
selzai,wares
terzai,marketeer
selza'u,has buttock
selzasni,transience property
terzasni,transience standard
selza'i,hold as existent
terza'i,existence epistemology
selzbabu,soap source 
terzbabu,soap composition
selzbani,coast with bay
selzba,made
terzba,made from
selzbe,has pedestal
terzbe,pedestal material
selzda,inhabit
selzdi,amused
terzdi,amusing property
selzei,hold as crime
selze'a,increase property
terze'a,increase amount
selzepti,quantity in 1E-21's
terzepti,1E-21's dimension
selzetro,quantity in 1E21's
terzetro,1E21's dimension
selzga,observed
terzga,observing sense
velzga,observing conditions
selzgi,produce music
selzi'e,freedom
terzi'e,freedom conditions
selvle,resources invested
tervle,investment
velvle,investment return
selmau,exceeded
termau,moreness property
velmau,moreness margin
selzmi,automatic function
terzmi,automaticity condition
selzu'o,
selzu'e,action
terzu'e,action goal 
selzmu,maize species
selzungi,object of guilt
selzunle,has to the left
terzunle,frame for left
selzu'i,hindered
terzu'i,interfering quality
seltse,sat on
selzva,location attended
