lujvo,meaning
geirxe'o,hearty､ warm-hearted
geizma,happier
gekcisma,smiles at
gekpanpi,blissful
gekrai,happiest
geirki'a,howl [of dog]
genlalske,syntax [as discipline]
gensu'a,grammatical structure､ syntax of...
genturfa'i,parser
gercmo,bark
gerpre,cynic [literal]
gerzda,kennel､ doghouse
gimste,gismu list､ [core] vocabulary
glinai,the English nation
glige'a,English grammar
glivla,a word of English
gincilta,chromosome
ginlazmi'u,blood relative
ginpoi,chromosome､ genetic sequence
grinunpei,seminar considering some subject
grisa'a,sing in a group/choir
griselpei,ideology
grivlici'e,politics
gimlebvla,le'avla with the morphology of gismu
gitsko,string of stringed instrument
glacai,scalding
glagau,to heat
glari'a,to heat
glaxlafri,to swelter
gledji,to want someone [sexually]
glefi'a,porn [includes pictorial and movie material]
gletci,sex toy
gletro,to ”be on top”､ to be the active partner sexually
glevi'i,ejaculate
glibau,English [language]
glibaukragu'e,England､ the original country of the English language
gligu'e,England; English-speaking countries
glikragu'e,England､ the original country of things English
glimerko,Angloamerican
ga'ardanti,arrow
ga'ardance'a,bow
grebe'i,to ferry someone/thing across
greblo,ferryboat
greblopre,ferryman
grece'i,toll
gregau,to make something pass through
greke'a,hole through
grile'u,grouping letter､ bracket
grinunjvi,tournament
gripau,subset
grusko,noodle､ spaghetti
rutytricu,fruit-tree
gunstu,workplace
gugypa'i,children of a country (metaphorical or literal)
guryre'o,to roll something with a throw [e.g. dice]
gurgau,to roll something
gubgau,to make public
gubnoi,advertisement､ public notice
gubnunsnu,panel､ forum
gubyternoi,publish､ make public
gugbandu,defending a country
gugyka'i,diplomat
gukcanre,abrasive
gumpe'i,jointly meet
gungri,work-group
gunku'a,workshop; shop
gurcutci,rollerskating shoe
gructi,grain-eating
gusminra,shiny
gustci,lamp､ light
gusyvelvei,optical storage [includes CD]
gustytigni,floorshow
gusycai,lustrous､ gleaming､ sparkling､ shining
ja'esni,symptom
ja'orca'o,shop window; (French
ja'urjukni,scorpion
jabytu'u,tubular chimes
jacke'o,Celsius
jaclu'a,waterway
jacnalselgre,waterproof
jaurca'ega'a,oar
jaurde'u,mud
jaurdirgo,waterdrop
jaurvi'u,to drain､ to bail water out of
jadnoi,message button [badge]､ ornamental inscription
jadycau,plain､ unadorned
jadypijne,brooch
jmatamji,big toe
jmatajycalku,big toe nail
jmati'e,heel
jagdimna,consequence
jagdimnalpei,imprudent
jairtai,fist
jairxa'e,fist
jajgau,to gather (tr.)
jakcai,very narrow
jakle'u,consonant (non-phonetic) (ref. to articulatory aperture)
jamkansa,ally
jarcinki,beetle
jarkitybli,brick
jarple,cardboard
jarpu'i,to set something in something
jaryri'a,to harden
seljaryri'a,hardened [e.g. steel]
jasysnu,negotiate
jaurbumru,mist
jaurcarna,whirlpool
jaurda'i,splashing
jaurde'uro'i,sedimentary rock
jacfa'u,waterfall
jaurgairi'a,to flood (tr.)
jaurgapci,steam
jaurmabru,water mammal [dolphin､ whale]
jaurselylu'i,washed [of clothing]
jaurvacri,humid air
jbebe'a,son by birth
jbedei,birthday
jbedetnunsla,birthday
jbedetsla,birthday celebrator
jbesla,birthday
jbetcaxa'u,native inhabitant of
jbetutra,motherland､ place of birth
jbibi'o,to near something
jbidra,nearly correct
jbigendra,nearly grammatical
jbikla,to approach [go to that which is near ...]
jbimau,closer
jbirai,nearest
jbire'a,humanoid
jbixa'u,neighbour [not necessarily next door]
jbota'a,to talk in Lojban
jbobauta'a,to talk in Lojban
jbobau,Lojban
jboce'u,Lojban community
jbofinpla,plan for lojban writing
jbofonta'a,to talk on the phone in lojban
jboge'a,Lojban grammar
jbogri,Lojban group [LLG､ any lojban grouping]
jbogu'a,Lojban work
jbojikca,Lojban socialising
jbomi'u,fellow Lojbanist
jbomidju,”Lojban Central”
jbonunsku,Lojban expression
jbopre,Lojbanist
jbosla,Logfester
seljbosla,Logfest
jboselba'u,Lojbanic utterance
jboselsku,Lojban expression
jboslanunpe'i,Logfest
jbosni,Lojban sign
jboste,”Lojban list” (very loose compound)
jbotcidu,Lojban reader
jbotermri,subscriber to a Lojban mailing list､ recipient of Lojban mail
jbovla,Lojban word
jboxelmri,Lojban mailing list
jbozi'u,Bad Lojban
jbuboikei,billiards
jbusfe,table top､ table surface
jbustu,place where a table is
jdace'u,church; cult
jdacuvgau,to ritually ”purify”
jdadapma,to be damned
jdajinru,to be baptised
jdaka'i,cleric
jdami'u,co-religionist､ person of the same religion
jdapli,to use something for religious purposes
jdaralju,high priest
jdaselsa'a,hymn､ spiritual
jdaselsku,prayer
jdasi'a,to worship
jdasku,to pray
jdaskuzei,blasphemy
jdasoi,paladin､ holy warrior
jdaxanmuvgau,to move the hand in prayer [e.g. crossing oneself]
jdazei,sin､ blasphemy
jdecisma,sneer､ grimace
jdeselsku,word of warning､ warning
jdigu'a,someone whose job is deciding､ e.g. newspaper editors､ judges etc.
jdikyri'a,to decrease (tr.)
jditadji,policy
jdufi'e,jellyfish
jectrukamni,governing committee､ cabinet
jecydinsro,treasury
jecyga'ibai,revolution
jecyga'ibaigau,revolutionary､ to overthrow a government
jecpau,state､ province､ administrative subdivision of a state
jecyselpo'e,state property､ nationalised
jecyselpo'ega'i,to nationalise
jecyselxaizei,sabotage､ crime against the state
