gismu,freq,inflation,meaning
rijno,24,,silver
rilti,14,,rhythm
rimni,66,,rhyme
rinci,6,,drain
rinju,50,,restrain
rinka,659,,cause
rinsa,191,,greet
rirci,49,,rare
rirni,157,,parent
rirxe,140,,river
rismi,116,(x),rice
risna,76,,heart
ritli,91,,rite
rivbi,120,,avoid
rokci,378,,rock
romge,4,,chrome
ropno,80,,European
rorci,595,,procreate
rotsu,42,,thick
rozgu,200,,rose
ruble,192,,weak
rufsu,42,,rough
runme,19,,melt
runta,34,,dissolve
rupnu,113,,dollar
rusko,57,x,Russian
rutni,54,,artifact
sabji,51,,provide
sabnu,1,,cabin
sacki,6,,match
saclu,2,,decimal
sakci,28,,suck
sakli,64,x,slide
sakta,57,x,sugar
salci,107,,celebrate
salpo,48,,slope
salta,15,,salad
samcu,8,,cassava
sampu,117,,simple
sance,280,,sound
sanga,225,,sing
sanji,193,,conscious
sanli,147,,stand
sanmi,72,,meal
sanso,6,,sauce
santa,283,(e),umbrella
sarcu,427,,necessary
sarji,2469,,support
sarlu,32,,spiral
sarxe,51,,harmonious
saske,155,,science
satci,200,x,exact
satre,40,,stroke
savru,133,,noise
sazri,89,,operate
sefta,106,,surface
selci,226,,cell
selfu,99,,serve
senci,30,,sneeze
senpi,171,,doubt
senta,16,,layer
senva,217,,dream
sepli,139,,apart
serti,195,,stairs
setca,143,,insert
sevzi,76,,self
sfani,67,,fly
sfasa,47,,punish
sfofa,49,,sofa
sfubu,35,,dive
siclu,34,,whistle
sicni,115,,coin
sidbo,404,,idea
sidju,316,,help
sigja,28,,cigar
silka,21,,silk
silna,33,,salt
simlu,392,,seem
simsa,853,,similar
simxu,345,,mutual
since,1960,(e),snake
sinma,83,x,esteem
sinso,15,,sine
sinxa,504,,sign
sipna,537,,sleep
sirji,98,,straight
sirxo,3,,Syrian
sirxo,1,,Syrian
sisku,590,,seek
sisti,209,,cease
sitna,56,,cite
sivni,20,,private
skaci,11,x,skirt
skami,750,,computer
skapi,75,x,pelt
skari,431,,color
skicu,497,,describe
skiji,5,,ski
skina,105,,cinema
skori,15,x,cord
skoto,44,,Scottish
skuro,32,,groove
slabu,445,,old
slaka,49,,syllable
slami,7,,acid
slanu,10,,cylinder
slari,15,,sour
slasi,19,,plastic
sligu,31,,solid
slilu,70,,oscillate
sliri,14,,sulfur
slovo,418,,Slavic
sluji,36,,muscle
sluni,18,,onion
smacu,188,,mouse
smadi,235,,guess
smaji,210,,quiet
smani,27,,monkey
smoka,162,,sock
smuci,13,,spoon
smuni,1119,,meaning
snada,430,,succeed
snanu,87,,south
snidu,33,,second
snime,60,,snow
snipa,17,,sticky
snuji,73,,sandwich
snura,97,,secure
snuti,56,,accidental
sobde,29,,soya
sodna,8,,sodium
sodva,22,,soda
softo,21,,Soviet
solji,75,,gold
solri,310,,solar
sombo,3,,sow
sonci,119,,soldier
sorcu,72,,store
sorgu,11,x,sorghum
sovda,69,,egg
spaji,115,,surprise
spali,27,(x),polish
spano,75,x,Spanish
spati,104,,plant
speni,387,x,married
spisa,33,,piece
spita,16,,hospital
spofu,84,,broken
spoja,286,,explode
spuda,600,,reply
sputu,39,,spit
sraji,52,,vertical
sraku,22,,scratch
sralo,73,,Australian
srana,251,,pertain
srasu,101,,grass
srera,485,,err
sruma,64,,assume
sruri,118,,surround
stace,43,,honest
stagi,29,,vegetable
staku,9,,ceramic
stali,182,,remain
stani,28,,stalk
