section_id,freq,sign,actual,actual_breakdown,canon,canon_breakdown,canon_meaning,canon_places,new,new_breakdown
4,1,?*,puisne,*UNKNOWN*+dream,,,,,,
4,1,?*,pungemno,elastic+*UNKNOWN*,,,,,,
4,2,?*,raiskila,*superlative+*UNKNOWN*,,,,,,
4,2,?*,rajdanto,vertical+*UNKNOWN*,,,,,,
4,2,?*,rarmente,natural+*UNKNOWN*,,,,,,
4,2,?*,rasplica,grease+*UNKNOWN*,,,,,,
4,1,?*,rasprave,grease+*UNKNOWN*,,,,,,
4,1,?*,ratkaptisto,atom+pelt+*UNKNOWN*,,,,,,
4,4,?*,raumismo,*unit+*UNKNOWN*,,,,,,
4,1,?!*,redturdu,*ready+*UNKNOWN*,,,,,,
4,1,?*,reglai,*UNKNOWN*+quantity,,,,,,
4,3,?!*,relpii,2+*UNKNOWN*,,,,,,
4,1,?*,retkurso,question+*UNKNOWN*,,,,,,
4,4,?*,rezlei,*UNKNOWN*+class,,,,,,
4,2,?*,rietenge,**UNKNOWN*+*UNKNOWN*,,,,,,
4,12,?*,rioplatense,**UNKNOWN*+plan+*UNKNOWN*,,,,,,
4,1,?*,ritzie,*British+*UNKNOWN*,,,,,,
4,1,?*,rompie,time+*UNKNOWN*,,,,,,
4,1,?*,rompio,time+*UNKNOWN*,,,,,,
4,2,?*,rondalfa,European+*UNKNOWN*,,,,,,
4,1,?*,ruibarbo,**UNKNOWN*+*UNKNOWN*,,,,,,
4,11,?*,sackamla,*honest+*UNKNOWN*,,,,,,
4,3,?*,sakykapma,suck+*UNKNOWN*,,,,,,
4,1,?*,samtempe,computer+*UNKNOWN*,,,,,,
4,1,?*,sanguo,Spanish+*UNKNOWN*,,,,,,
4,17,?*,santakla,Spanish+*UNKNOWN*,,,,,,
4,1,?!*,selcansu,2nd-place-of+*UNKNOWN*,,,,,,
4,2,?*,seltatpe,2nd-place-of+*UNKNOWN*,,,,,,
4,1,?*,selxucna,2nd-place-of+*UNKNOWN*,,,,,,
4,2,?*,sempre,*UNKNOWN*+person,,,,,,
4,1,?*,senseksa,doubt+*UNKNOWN*,,,,,,
4,19,?*,septante,apart+*UNKNOWN*,,,,,,
4,2,?*,sesmansa,*UNKNOWN*+satisfy,,,,,,
4,1,?*,sexyfli,**UNKNOWN*+fail,,,,,,
4,1,?*,siecle,*UNKNOWN*+*UNKNOWN*,,,,,,
4,1,?*,sierpinski,*UNKNOWN*+level+describe,,,,,,
4,2,?*,siespa,*UNKNOWN*+plant,,,,,,
4,156,?*,siespe,*UNKNOWN*+married,,,,,,
4,51,?*,sievro,*UNKNOWN*+door,,,,,,
4,2,?*,sitsaunudza,cite+old+*UNKNOWN*,,,,,,
4,1,?*,skadarli,color+*UNKNOWN*,,,,,,
4,2,?*,skalicka,color+*UNKNOWN*,,,,,,
4,3,?*,skatso,color+*UNKNOWN*,,,,,,
4,4,?*,skibicki,describe+*UNKNOWN*,,,,,,
4,1,?*,slecinka,cell+*UNKNOWN*,,,,,,
4,1,?*,slepicka,cell+*UNKNOWN*,,,,,,
4,6,?*,slirozme,oscillate+*UNKNOWN*,,,,,,
4,2,?*,smafodpai,*quiet+*UNKNOWN*+judge,,,,,,
4,1,?*,smicutse,similar+*UNKNOWN*,,,,,,
4,2,?*,snikapli,sign+*UNKNOWN*,,,,,,
4,1,?*,snikubla,sign+*UNKNOWN*,,,,,,
4,1,?*,socdamni,*store+*UNKNOWN*,,,,,,
4,12,?*,soixante,*soldier+*UNKNOWN*,,,,,,
4,2,?*,solgusri,solar+*UNKNOWN*,,,,,,
4,1,?*,sonspage,soldier+*UNKNOWN*,,,,,,
4,2,?*,sostengo,several-(of)+*UNKNOWN*,,,,,,
4,15,?*,spaventa,plant+*UNKNOWN*,,,,,,
4,1,?*,spepondi,married+*UNKNOWN*,,,,,,
4,4,?*,spomenka,destroy+*UNKNOWN*,,,,,,
