rafsi_or_cmavo,gismu,as_rafsi_ini,as_rafsi_mid,as_rafsi_fin,as_gismu,as_cmavo
dirgo,dirgo,0,0,8,35,
dzi,dizlo,47,1,11,0,
diz,dizlo,0,0,0,0,
jau,djacu,152,0,40,0,
jac,djacu,38,0,0,0,
djac,djacu,0,0,0,0,
dei,djedi,1,29,832,0,
dje,djedi,32,0,9,0,
djed,djedi,0,0,0,0,
djedi,djedi,0,0,0,425,
dji,djica,67,46,349,0,
djica,djica,0,0,0,2267,
jin,djine,33,0,0,0,
djine,djine,0,0,4,42,
ju'o,djuno,0,4,309,0,366
jun,djuno,21,20,0,0,
djun,djuno,0,0,0,0,
djuno,djuno,0,0,0,4874,
doi,do,8,6,0,0,
don,do,13,0,0,0,
do'i,donri,0,0,58,0,
dor,donri,17,11,0,0,
donri,donri,0,0,0,97,
dot,dotco,38,0,0,0,
do'o,dotco,0,1,4,0,
dotco,dotco,0,0,0,117,
draci,draci,51,0,78,82,
drac,draci,4,0,0,0,
draco,draco,0,0,14,0,
dracu,dracu,0,0,2,0,
dra,drani,163,14,358,0,
drani,drani,1,0,2,846,
dran,drani,0,0,0,0,
dat,drata,70,0,0,0,
drata,drata,0,0,32,1278,
drat,drata,0,0,0,0,
dru,drudi,2,0,34,0,
dub,du,10,0,0,0,
du'o,du,0,0,3,0,
dum,du'u,0,0,12,0,
dudna,dudna,0,0,1,0,
dug,dugri,2,0,0,0,
dugri,dugri,0,0,2,20,
dugr,dugri,0,0,0,0,
du'e,dukse,28,1,58,0,
dus,dukse,36,0,0,0,
duks,dukse,0,0,0,0,
dukse,dukse,0,0,0,433,
dut,dukti,19,4,0,0,
dukti,dukti,0,0,21,54,
du'a,dunda,2,7,170,0,
dud,dunda,3,4,0,0,
dunda,dunda,0,0,0,1020,
duj,dunja,6,0,0,0,
dunja,dunja,0,0,2,16,
duk,dunku,34,0,0,0,
du'u,dunku,2,0,12,0,
dunk,dunku,0,0,0,0,
dunku,dunku,0,0,0,102,
du'i,dunli,0,0,98,0,73
dun,dunli,27,9,1,0,
dunli,dunli,0,0,3,350,
dunra,dunra,10,0,2,39,
dur,dunra,2,0,0,0,
dze,dzena,9,4,20,0,
dzena,dzena,0,0,0,91,
zi'o,dzipo,0,0,1,0,
fa'i,facki,0,5,99,0,
fak,facki,8,12,0,0,
facki,facki,0,0,4,569,
fack,facki,0,0,0,0,
fadni,fadni,0,0,15,181,
fad,fadni,2,1,0,0,
fagre,fagre,0,0,2,0,
fag,fagri,230,2,0,0,
fagri,fagri,0,0,18,139,
fagr,fagri,0,0,0,0,
fakci,fakci,0,0,1,0,
fan,falnu,9,0,0,0,
falnu,falnu,0,0,4,13,
famti,famti,0,0,2,7,
fanc,fancu,4,0,0,0,
fancu,fancu,0,0,3,64,
fange,fange,0,0,15,100,
fang,fange,1,0,0,0,
fam,fanmo,82,1,0,0,
fa'o,fanmo,0,0,61,0,
fanmo,fanmo,0,0,0,211,
fanri,fanri,0,0,2,2,
fanta,fanta,0,0,16,166,
fanva,fanva,8,0,134,726,
fanv,fanva,4,0,0,0,
fanvi,fanvi,0,0,12,0,
fanza,fanza,0,0,37,125,
faz,fanza,6,7,0,0,
pro,fapro,54,6,51,0,
fap,fapro,4,0,0,0,
fapro,fapro,0,0,0,150,
fal,farlu,38,1,0,0,
fa'u,farlu,0,0,22,0,
farl,farlu,0,0,0,0,
farlu,farlu,0,0,0,547,
far,farna,74,19,0,0,
fa'a,farna,0,2,35,0,345
farn,farna,0,0,0,0,
farna,farna,0,0,0,121,
fav,farvi,4,6,0,0,
farvi,farvi,3,0,4,79,
fau,fasnu,39,3,203,0,408
fasn,fasnu,0,0,0,0,
fasnu,fasnu,0,0,0,958,
fac,fatci,17,10,0,0,
fatci,fatci,12,0,3,666,
fat,fatne,66,1,0,0,
fa'e,fatne,2,0,14,0,26
fai,fatri,41,37,13,0,
feb,febvi,4,0,0,0,
febvi,febvi,0,0,4,42,
femti,femti,0,0,2,5,
fendi,fendi,0,0,31,72,
fed,fendi,14,0,0,0,
fe'u,fengu,16,0,36,0,
feg,fengu,35,0,0,0,
feng,fengu,0,0,0,0,
fengu,fengu,0,0,0,163,
fek,fenki,45,0,0,0,
fenki,fenki,6,0,9,109,
fe'a,fenra,0,0,44,0,
fenra,fenra,0,0,12,93,
fe'o,fenso,4,0,6,0,
fen,fenso,5,0,0,0,
fenso,fenso,0,0,0,16,
fep,fepni,4,0,0,0,
fei,fepni,0,0,4,0,
fepni,fepni,0,0,0,91,
fepri,fepri,0,0,1,19,
fre,ferti,12,0,14,0,
fes,festi,45,15,0,0,
festi,festi,0,0,8,87,
fet,fetsi,184,4,0,0,
fe'i,fetsi,3,0,7,0,
fets,fetsi,0,0,0,0,
fetsi,fetsi,0,0,0,77,
figre,figre,0,0,1,7,
