rafsi_or_cmavo	rafsi_or_cmavo_shape	rafsi_or_cmavo_len	gismu	gismu_shape	gismu_pos	as_rafsi_ini	as_rafsi_med	as_rafsi_fin	as_rafsi	percentage_ini	percentage_med	percentage_fin	as_gismu	as_cmavo	gismu:1	gismu_freq
canci	CACCA	5	canci	CACCA	14 2 3 14 5	0	4	31	35	0.0	0.0	0.0	97	0	canci	43.0
canc	CACC	4	canci	CACCA	14 2 3 14	8	0	0	8	100.0	0.0	0.0	0	0	canci	43.0
cad	CAC	3	cando	CACCA	1 2 4	32	0	0	32	100.0	0.0	0.0	0	0	cando	48.0
cando	CACCA	5	cando	CACCA	1 2 3 4 5	0	0	16	16	0.0	0.0	100.0	56	0	cando	48.0
cand	CACC	4	cando	CACCA	1 2 3 4	0	0	0	0				0	0	cando	48.0
cange	CACCA	5	cange	CACCA	1 2 3 4 5	0	0	16	16	0.0	0.0	100.0	64	0	cange	31.0
cag	CAC	3	cange	CACCA	1 2 4	15	0	0	15	100.0	0.0	0.0	0	0	cange	31.0
cang	CACC	4	cange	CACCA	1 2 3 4	0	0	0	0				0	0	cange	31.0
canja	CACCA	5	canja	CACCA	1 25 3 4 25	2	0	8	10	0.0	0.0	0.0	94	0	canja	14.0
caj	CAC	3	canja	CACCA	1 25 4	2	0	2	4	0.0	0.0	0.0	0	0	canja	14.0
ca'o	CAA	3	canko	CACCA	1 2 5	7	0	34	41	0.0	0.0	0.0	0	0	canko	41.0
cank	CACC	4	canko	CACCA	1 2 3 4	0	0	0	0				0	0	canko	41.0
canko	CACCA	5	canko	CACCA	1 2 3 4 5	0	0	0	0				333	0	canko	41.0
ca'u	CAA	3	canlu	CACCA	1 2 5	0	0	26	26	0.0	0.0	100.0	0	0	canlu	33.0
cal	CAC	3	canlu	CACCA	1 2 4	7	0	0	7	100.0	0.0	0.0	0	0	canlu	33.0
canlu	CACCA	5	canlu	CACCA	1 2 3 4 5	0	0	0	0				53	0	canlu	33.0
cna	CCA	3	canpa	CACCA	1 3 25	3	0	16	19	0.0	0.0	0.0	0	0	canpa	19.0
can	CAC	3	canre	CACCA	1 2 3	33	7	0	40	0.0	0.0	0.0	0	0	canre	43.0
canre	CACCA	5	canre	CACCA	1 2 3 4 5	0	0	3	3	0.0	0.0	100.0	113	0	canre	43.0
cansu	CACCA	5	cansu	CACCA	1 2 3 4 5	0	0	2	2	0.0	0.0	100.0	0	0	cansu	2.0
canti	CACCA	5	canti	CACCA	1 2 3 4 5	0	0	2	2	0.0	0.0	100.0	15	0	canti	3.0
